uuid,_source,_target,type,name,desc,access_type,influence_strength
CxnDef.pvEDbwxnPD-q-L,id-b03da25d-2ab1-11ec-3eca-0050568bdf9a,id-ec467dbb-2b30-11ec-3eca-0050568bdf9a,Realization,,,,
CxnDef.5S4CSl6mz69-q-L,id-b03da25d-2ab1-11ec-3eca-0050568bdf9a,id-ca860865-17af-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.2IqYFefKol4-q-L,id-67a9162e-4ebe-11ec-19af-0050568bdf9a,id-db67223b-1640-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.4Wpi-tvP8AV-q-L,id-89930c79-4eb7-11ec-19af-0050568bdf9a,id-b03da277-2ab1-11ec-3eca-0050568bdf9a,Association,,,,
CxnDef.-77luol4GXat-q-L,id-b03da250-2ab1-11ec-3eca-0050568bdf9a,id-53ac1cc8-2aad-11ec-3eca-0050568bdf9a,Aggregation,,,,
CxnDef.3s0-yNerELm-q-L,id-b03da250-2ab1-11ec-3eca-0050568bdf9a,id-db672216-1640-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.2OfI9np7LsZ-q-L,id-b03da250-2ab1-11ec-3eca-0050568bdf9a,id-ec467db8-2b30-11ec-3eca-0050568bdf9a,Realization,,,,
CxnDef.-3fqMwP6ky3w-q-L,id-ca86086f-17af-11ec-4d13-0050568b5c9f,id-db672216-1640-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.-7fq_LnDomIu-q-L,id-ca86086f-17af-11ec-4d13-0050568b5c9f,id-ec467dbb-2b30-11ec-3eca-0050568bdf9a,Realization,,,,
CxnDef.3rdT9Gyw4SX-q-L,id-ca86086f-17af-11ec-4d13-0050568b5c9f,id-ca860865-17af-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.7dtVk0Pi_sA-q-L,id-67a91622-4ebe-11ec-19af-0050568bdf9a,id-adbe19ed-3887-11ec-3ed2-0050568bdf9a,Serving,,,,
CxnDef.2stN_OBleou-q-L,id-9886b003-617e-11ec-19b9-0050568bdf9a,id-9f4ac8a6-5ce4-11ec-288d-0050568b5c9f,Composition,,,,
CxnDef.-4c1EmcYQ9pz-q-L,id-9886b003-617e-11ec-19b9-0050568bdf9a,id-4f985c18-5f45-11ec-288d-0050568b5c9f,Composition,,,,
CxnDef.-19DMAguPZXd-q-L,id-9886b003-617e-11ec-19b9-0050568bdf9a,id-9f4ac8a1-5ce4-11ec-288d-0050568b5c9f,Composition,,,,
CxnDef.FxlL6SN7UP-q-L,id-9886b003-617e-11ec-19b9-0050568bdf9a,id-ed8fba01-5cdd-11ec-288d-0050568b5c9f,Aggregation,,,,
CxnDef.4qpUTJ8FJF-q-L,id-67a91613-4ebe-11ec-19af-0050568bdf9a,id-89930c82-4eb7-11ec-19af-0050568bdf9a,Association,,,,
CxnDef.-2VhHettJ1K6-q-L,id-a2683b02-962c-11ec-0ac0-0050568b2437,id-c90c9b11-0946-11ec-67f4-0050568bd415,Serving,,,,
CxnDef.-wKMq_HzUeR-q-L,id-ec467dbb-2b30-11ec-3eca-0050568bdf9a,id-ef2d5b40-c76a-11eb-05d0-0050568b5c9f,Serving,,,,
CxnDef.G1N-8G109J-q-L,id-ec467dbb-2b30-11ec-3eca-0050568bdf9a,id-102e49bb-e306-11eb-2ade-0050568bdf9a,Serving,,,,
CxnDef.-4VQ5tjciYXh-q-L,id-ec467dbb-2b30-11ec-3eca-0050568bdf9a,id-266d26c1-dce1-11e8-4239-0050568bc76d,Serving,,,,
CxnDef.huACM0mBxx-q-L,id-ec467dbb-2b30-11ec-3eca-0050568bdf9a,id-8075534b-7db4-11eb-586f-0050568bd295,Serving,,,,
CxnDef.4JtSEtbgFST-q-L,id-ec467dbb-2b30-11ec-3eca-0050568bdf9a,id-91a5e17d-de66-11eb-3907-0050568b5c9f,Serving,,,,
CxnDef.4e1COSeCVkg-q-L,id-ec467dbb-2b30-11ec-3eca-0050568bdf9a,id-f5bafa9f-992a-11eb-32fd-0050568bdf9a,Serving,,,,
CxnDef.-76SmM1xCT_9-q-L,id-4f985c18-5f45-11ec-288d-0050568b5c9f,id-2128b260-ac27-11ec-1702-0050568b2437,Association,,,,
CxnDef.-7Kmcd3ap57L-q-L,id-4f985c18-5f45-11ec-288d-0050568b5c9f,id-8083d20f-7db4-11eb-586f-0050568bd295,Aggregation,,,,
CxnDef.-4p_TxkKIMJf-q-L,id-4f985c18-5f45-11ec-288d-0050568b5c9f,id-9886afe0-617e-11ec-19b9-0050568bdf9a,Realization,,,,
CxnDef.AHUjU4v_Ke-q-L,id-9886afe0-617e-11ec-19b9-0050568bdf9a,id-227ac4a1-dce6-11e8-4239-0050568bc76d,Serving,,,,
CxnDef.-2SAhR8PYkUV-q-L,id-db672216-1640-11ec-4d13-0050568b5c9f,id-4f985c30-5f45-11ec-288d-0050568b5c9f,Aggregation,,,,
CxnDef.5w98WkgSNDH-q-L,id-db672216-1640-11ec-4d13-0050568b5c9f,id-ca860865-17af-11ec-4d13-0050568b5c9f,Serving,,,,
CxnDef.-6QY6RoBXSkV-q-L,id-db672216-1640-11ec-4d13-0050568b5c9f,id-b5b36743-5f3d-11ec-288d-0050568b5c9f,Serving,,,,
CxnDef.-4N6pWYROBDh-q-L,id-db672216-1640-11ec-4d13-0050568b5c9f,id-4f985c33-5f45-11ec-288d-0050568b5c9f,Serving,,,,
CxnDef.2OdKapUUBwr-q-L,id-db672216-1640-11ec-4d13-0050568b5c9f,id-ed8fba0a-5cdd-11ec-288d-0050568b5c9f,Serving,,,,
CxnDef.-5jZE4bULzic-q-L,id-db672216-1640-11ec-4d13-0050568b5c9f,id-8083d211-7db4-11eb-586f-0050568bd295,Aggregation,,,,
CxnDef.-67VDmmALFXy-q-L,id-db672216-1640-11ec-4d13-0050568b5c9f,id-9f4ac8a1-5ce4-11ec-288d-0050568b5c9f,Aggregation,,,,
CxnDef.-7yDEkOP9VqC-q-L,id-db672216-1640-11ec-4d13-0050568b5c9f,id-9f4ac8a6-5ce4-11ec-288d-0050568b5c9f,Aggregation,,,,
CxnDef.2KK-o2442i7-q-L,id-db672216-1640-11ec-4d13-0050568b5c9f,id-db672218-1640-11ec-4d13-0050568b5c9f,Serving,,,,
CxnDef.7ksEGctZlCk-q-L,id-db672216-1640-11ec-4d13-0050568b5c9f,id-ed8fba01-5cdd-11ec-288d-0050568b5c9f,Aggregation,,,,
CxnDef.-25DA4DMGfXZ-q-L,id-db672216-1640-11ec-4d13-0050568b5c9f,id-b5b36740-5f3d-11ec-288d-0050568b5c9f,Aggregation,,,,
CxnDef.2nLZCELt8OS-q-L,id-db672216-1640-11ec-4d13-0050568b5c9f,id-9886b003-617e-11ec-19b9-0050568bdf9a,Serving,,,,
